local_id,producto_id,sku_distribuidor,oem_part_number,marca_repuesto,calidad_repuesto,condicion,categoria,subcategoria,producto_nombre,descripcion_corta,palabras_clave,marca_vehiculo,modelo_vehiculo,anio_desde,anio_hasta,motor_codigo,cilindrada,combustible,transmision,carroceria,version_trim,compatibilidades,vin_prefijos,chasis_series,numeros_motor_series,colores_disponibles,requiere_color,requiere_vin,requiere_chasis,precio_venta,moneda,incluye_iva,iva_porcentaje,precio_venta_con_iva,estado_disponibilidad,lead_time_dias,garantia_meses,politica_devolucion,regiones_cobertura,costo_envio_base,peso_kg,alto_cm,ancho_cm,largo_cm,imagen_url,manual_url,observaciones,fecha_actualizacion,fuente
LOC-06,PRD-2022,HYU-ACC-MAN-1891,OEM_HOSEL-977645,Denso,OEM,Nuevo,Auto liviano,Enfriamiento,Manguera radiador inferior Hyundai Accent,Manguera radiador inferior compatible Hyundai Accent 2014-2019,lower radiator hose|manguera radiador inferior|Hyundai Accent Manguera radiador inferior,Hyundai,Accent,2014,2019,G4FC,1.6L,Gasolina,DCT,Sedán,GLS,Años 2014-2019; Motor G4FC; 1.6L; Gasolina,KMH,RB,G4FC,,False,False,False,13745,CLP,False,19,16357,Bajo pedido,14,12,Cambio dentro de 7 días,RM|VI|VIII|XIII,3990,5.0,65,45,10,https://upload.wikimedia.org/wikipedia/commons/3/3a/Car_brake_disc.jpg,https://www.toyota.com/t3Portal/document/om-s/OM12J46U/pdf/OM12J46U.pdf,Requiere líquido refrigerante G12,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-05,PRD-2177,GRE-WIN-PAS-1820,OEM_PADF-280334,Sachs,Reconstruido,Usado,Camioneta,Frenos,Pastillas de freno delanteras Great Wall Wingle 5,Pastillas de freno delanteras compatible Great Wall Wingle 5 2011-2018,brake pads front|pastillas freno delanteras|Great Wall Wingle 5 Pastillas de freno delanteras,Great Wall,Wingle 5,2011,2018,GW4D20,2.0L,Diésel,MT,Camioneta,Deluxe|Base,Años 2011-2018; Motor GW4D20; 2.0L; Diésel,LGW|LZW,WINGLE5|CC1031,GW4D20,,False,False,False,27649,CLP,False,19,32902,Bajo pedido,3,12,No aplica en eléctricos,II|IV|V|VI|VII|VIII,7990,6.0,35,35,10,https://upload.wikimedia.org/wikipedia/commons/f/f1/Automotive_alternator.jpg,https://www.hyundaiusa.com/us/en/vehicles/owners/resources/manuals/_jcr_content/par1/links_0/link.download.pdf,,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-02,PRD-2046,HYU-TUC-SEN-5815,OEM_MAF-408052,Gates,Reconstruido,Usado,SUV,Eléctrico,Sensor MAF Hyundai Tucson,Sensor MAF compatible Hyundai Tucson 2016-2021,maf sensor|sensor maf|Hyundai Tucson Sensor MAF,Hyundai,Tucson,2016,2021,G4NA,2.0L,Gasolina,AT,SUV,Limited,Años 2016-2021; Motor G4NA; 2.0L; Gasolina,KM8|TMA,TL,G4NA,,False,True,False,75950,CLP,False,19,90380,Habitual,0,3,Cambio dentro de 7 días,IX|V|VIII|X,3990,3.0,30,20,20,https://upload.wikimedia.org/wikipedia/commons/5/50/Spark_plug_auto_part.jpg,https://www.hyundaiusa.com/us/en/vehicles/owners/resources/manuals/_jcr_content/par1/links_0/link.download.pdf,Con ABS/ESP,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-03,PRD-2063,TOY-COR-BUJ-4701,OEM_PLUG-210395,Gates,Aftermarket,Remanufacturado,Auto liviano,Motor,Bujías Toyota Corolla,Bujías compatible Toyota Corolla 2010-2018,spark plug|bujia|bujías|Toyota Corolla Bujías,Toyota,Corolla,2010,2018,2ZR-FE,1.8L,Gasolina,MT,Sedán,GLi|XEi,Años 2010-2018; Motor 2ZR-FE; 1.8L; Gasolina,JTD,ZRE,2ZR-FE,,False,False,False,19055,CLP,False,19,22675,Habitual,0,6,No aplica en eléctricos,II|RM|V|VII|VIII,5990,9.0,40,30,25,https://upload.wikimedia.org/wikipedia/commons/1/14/Automobile_oil_filter.jpg,https://www.nissanusa.com/content/dam/Nissan/us/owners/manuals/2020/2020-nissan-rogue-owner-manual.pdf,Incluye empaquetadura,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-09,PRD-2024,HYU-ACC-RÓT-1081,OEM_TIEROD-195264,Gates,OEM,Nuevo,Auto liviano,Dirección,Rótula dirección Hyundai Accent,Rótula dirección compatible Hyundai Accent 2014-2019,tie rod end|rótula|Hyundai Accent Rótula dirección,Hyundai,Accent,2014,2019,G4FC,1.6L,Gasolina,,Sedán,Limited,Años 2014-2019; Motor G4FC; 1.6L; Gasolina,KMH,RB,G4FC,,False,True,False,18081,CLP,False,19,21516,Habitual,0,3,10 días sin uso,III|IV|IX|X,7990,8.0,60,18,18,https://upload.wikimedia.org/wikipedia/commons/f/f1/Automotive_alternator.jpg,https://www.nhtsa.gov/sites/nhtsa.gov/files/documents/2020_ford_fusion_owners_manual.pdf,Incluye empaquetadura,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-02,PRD-2185,GRE-WIN-MAZ-4741,OEM_HUB-784170,Delphi,Reconstruido,Remanufacturado,Camioneta,Suspensión,Maza de rueda Great Wall Wingle 5,Maza de rueda compatible Great Wall Wingle 5 2011-2018,wheel hub|maza rueda|Great Wall Wingle 5 Maza de rueda,Great Wall,Wingle 5,2011,2018,GW4D20,2.0L,Diésel,AT,Camioneta,Deluxe,Años 2011-2018; Motor GW4D20; 2.0L; Diésel,LGW|LZW,WINGLE5|CC1031,GW4D20,,False,False,False,89793,CLP,False,19,106854,Habitual,0,3,Cambio dentro de 7 días,III|V|VI|VIII|X|XIII,3990,8.0,60,18,18,https://upload.wikimedia.org/wikipedia/commons/5/50/Spark_plug_auto_part.jpg,https://www.suzuki.com.ph/assets/owners_manual/Swift_OM.pdf,,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-01,PRD-2040,HYU-TUC-AMO-4488,OEM_SHOCKR-124776,NGK,Aftermarket,Usado,SUV,Suspensión,Amortiguador trasero Hyundai Tucson,Amortiguador trasero compatible Hyundai Tucson 2016-2021,shock absorber rear|amortiguador trasero|Hyundai Tucson Amortiguador trasero,Hyundai,Tucson,2016,2021,D4HA,2.0L,Diésel,MT,SUV,Limited,Años 2016-2021; Motor D4HA; 2.0L; Diésel,KM8|TMA,TL,D4HA,,False,True,False,74235,CLP,False,19,88340,Bajo pedido,7,12,10 días sin uso,IX|VI|VII,3990,8.0,60,18,18,https://upload.wikimedia.org/wikipedia/commons/3/3a/Car_brake_disc.jpg,https://www.nhtsa.gov/sites/nhtsa.gov/files/documents/2020_ford_fusion_owners_manual.pdf,Con ABS/ESP,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-05,PRD-2188,GRE-WIN-VÁL-6772,OEM_EGR-809091,Bosch,Genérico,Nuevo,Camioneta,Escape,Válvula EGR Great Wall Wingle 5,Válvula EGR compatible Great Wall Wingle 5 2011-2018,egr valve|válvula egr|Great Wall Wingle 5 Válvula EGR,Great Wall,Wingle 5,2011,2018,GW4D20,2.0L,Diésel,AT,Camioneta,Deluxe,Años 2011-2018; Motor GW4D20; 2.0L; Diésel,LGW|LZW,WINGLE5|CC1031,GW4D20,,False,False,False,168090,CLP,False,19,200027,Descontinuado,7,6,No aplica en eléctricos,II|IV|IX|RM|VI|XIII,0,9.0,40,30,25,https://upload.wikimedia.org/wikipedia/commons/1/14/Automobile_oil_filter.jpg,https://www.toyota.com/t3Portal/document/om-s/OM12J46U/pdf/OM12J46U.pdf,,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-07,PRD-2078,TOY-COR-RÓT-5154,OEM_TIEROD-546802,Delphi,Aftermarket,Usado,Auto liviano,Dirección,Rótula dirección Toyota Corolla,Rótula dirección compatible Toyota Corolla 2010-2018,tie rod end|rótula|Toyota Corolla Rótula dirección,Toyota,Corolla,2010,2018,2ZR-FE,1.8L,Gasolina,CVT,Sedán,XEi|GLi,Años 2010-2018; Motor 2ZR-FE; 1.8L; Gasolina,JTD,ZRE,2ZR-FE,,False,False,False,19272,CLP,False,19,22934,Habitual,0,12,No aplica en eléctricos,IV|IX|VI,5990,8.0,60,18,18,https://upload.wikimedia.org/wikipedia/commons/8/86/Automotive_shock_absorber.jpg,https://www.suzuki.com.ph/assets/owners_manual/Swift_OM.pdf,Verificar diámetro,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-06,PRD-2096,TOY-HIL-PAS-1971,OEM_PADR-679689,Aisin,OEM,Usado,Camioneta,Frenos,Pastillas de freno traseras Toyota Hilux,Pastillas de freno traseras compatible Toyota Hilux 2012-2015,brake pads rear|pastillas freno traseras|Toyota Hilux Pastillas de freno traseras,Toyota,Hilux,2012,2015,1KD-FTV,3.0L,Diésel,MT,Camioneta,DX,Años 2012-2015; Motor 1KD-FTV; 3.0L; Diésel,MR0|AHT,KUN,1KD-FTV,,False,False,False,26970,CLP,False,19,32094,Habitual,0,3,No aplica en eléctricos,III|IV|V|VII|XIII,5990,6.0,35,35,10,https://upload.wikimedia.org/wikipedia/commons/8/86/Automotive_shock_absorber.jpg,https://www.toyota.com/t3Portal/document/om-s/OM12J46U/pdf/OM12J46U.pdf,Requiere líquido refrigerante G12,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-02,PRD-2129,NIS-NP3-MAN-6718,OEM_HOSEU-544570,Monroe,Reconstruido,Remanufacturado,Camioneta,Enfriamiento,Manguera radiador superior Nissan NP300,Manguera radiador superior compatible Nissan NP300 2012-2018,upper radiator hose|manguera radiador superior|Nissan NP300 Manguera radiador superior,Nissan,NP300,2012,2018,YD25,2.5L,Diésel,MT,Camioneta,LE,Años 2012-2018; Motor YD25; 2.5L; Diésel,JN1|3N6,D22|D40,YD25,,False,True,False,15509,CLP,False,19,18456,Bajo pedido,5,6,10 días sin uso,II|VI|VIII,3990,5.0,65,45,10,https://upload.wikimedia.org/wikipedia/commons/2/25/Clutch_disc_auto_part.jpg,https://www.nhtsa.gov/sites/nhtsa.gov/files/documents/2020_ford_fusion_owners_manual.pdf,Incluye empaquetadura,2025-08-09T14:49:26Z,sheet_interno_mock_v2
