producto_id,marca_repuesto,calidad_repuesto,condicion,descripcion_corta,marca_vehiculo,modelo_vehiculo,anio_desde,anio_hasta,motor_codigo,cilindrada,combustible,transmision,carroceria,version_trim,compatibilidades,vin_prefijos,chasis_series,numeros_motor_series,colores_disponibles,requiere_color,requiere_vin,requiere_chasis,observaciones
PRD-2022,Denso,OEM,Nuevo,Manguera radiador inferior compatible Hyundai Accent 2014-2019,Hyundai,Accent,2014,2019,G4FC,1.6L,Gasolina,DCT,Sedán,GLS,Años 2014-2019; Motor G4FC; 1.6L; Gasolina,KMH,RB,G4FC,,FALSE,FALSE,FALSE,Requiere líquido refrigerante G12
PRD-2177,Sachs,Reconstruido,Usado,Pastillas de freno delanteras compatible Great Wall Wingle 5 2011-2018,Great Wall,Wingle 5,2011,2018,GW4D20,2.0L,Diésel,MT,Camioneta,Deluxe|Base,Años 2011-2018; Motor GW4D20; 2.0L; Diésel,LGW|LZW,WINGLE5|CC1031,GW4D20,,FALSE,FALSE,FALSE,
PRD-2046,Gates,Reconstruido,Usado,Sensor MAF compatible Hyundai Tucson 2016-2021,Hyundai,Tucson,2016,2021,G4NA,2.0L,Gasolina,AT,SUV,Limited,Años 2016-2021; Motor G4NA; 2.0L; Gasolina,KM8|TMA,TL,G4NA,,FALSE,TRUE,FALSE,Con ABS/ESP
PRD-2063,Gates,Aftermarket,Remanufacturado,Bujías compatible Toyota Corolla 2010-2018,Toyota,Corolla,2010,2018,2ZR-FE,1.8L,Gasolina,MT,Sedán,GLi|XEi,Años 2010-2018; Motor 2ZR-FE; 1.8L; Gasolina,JTD,ZRE,2ZR-FE,,FALSE,FALSE,FALSE,Incluye empaquetadura
PRD-2024,Gates,OEM,Nuevo,Rótula dirección compatible Hyundai Accent 2014-2019,Hyundai,Accent,2014,2019,G4FC,1.6L,Gasolina,,Sedán,Limited,Años 2014-2019; Motor G4FC; 1.6L; Gasolina,KMH,RB,G4FC,,FALSE,TRUE,FALSE,Incluye empaquetadura
PRD-2185,Delphi,Reconstruido,Remanufacturado,Maza de rueda compatible Great Wall Wingle 5 2011-2018,Great Wall,Wingle 5,2011,2018,GW4D20,2.0L,Diésel,AT,Camioneta,Deluxe,Años 2011-2018; Motor GW4D20; 2.0L; Diésel,LGW|LZW,WINGLE5|CC1031,GW4D20,,FALSE,FALSE,FALSE,
PRD-2040,NGK,Aftermarket,Usado,Amortiguador trasero compatible Hyundai Tucson 2016-2021,Hyundai,Tucson,2016,2021,D4HA,2.0L,Diésel,MT,SUV,Limited,Años 2016-2021; Motor D4HA; 2.0L; Diésel,KM8|TMA,TL,D4HA,,FALSE,TRUE,FALSE,Con ABS/ESP
PRD-2188,Bosch,Genérico,Nuevo,Válvula EGR compatible Great Wall Wingle 5 2011-2018,Great Wall,Wingle 5,2011,2018,GW4D20,2.0L,Diésel,AT,Camioneta,Deluxe,Años 2011-2018; Motor GW4D20; 2.0L; Diésel,LGW|LZW,WINGLE5|CC1031,GW4D20,,FALSE,FALSE,FALSE,
PRD-2078,Delphi,Aftermarket,Usado,Rótula dirección compatible Toyota Corolla 2010-2018,Toyota,Corolla,2010,2018,2ZR-FE,1.8L,Gasolina,CVT,Sedán,XEi|GLi,Años 2010-2018; Motor 2ZR-FE; 1.8L; Gasolina,JTD,ZRE,2ZR-FE,,FALSE,FALSE,FALSE,Verificar diámetro
PRD-2096,Aisin,OEM,Usado,Pastillas de freno traseras compatible Toyota Hilux 2012-2015,Toyota,Hilux,2012,2015,1KD-FTV,3.0L,Diésel,MT,Camioneta,DX,Años 2012-2015; Motor 1KD-FTV; 3.0L; Diésel,MR0|AHT,KUN,1KD-FTV,,FALSE,FALSE,FALSE,Requiere líquido refrigerante G12
PRD-2129,Monroe,Reconstruido,Remanufacturado,Manguera radiador superior compatible Nissan NP300 2012-2018,Nissan,NP300,2012,2018,YD25,2.5L,Diésel,MT,Camioneta,LE,Años 2012-2018; Motor YD25; 2.5L; Diésel,JN1|3N6,D22|D40,YD25,,FALSE,TRUE,FALSE,Incluye empaquetadura
PRD-2082,Bosch,Aftermarket,Remanufacturado,Termostato compatible Toyota Hilux 2012-2015,Toyota,Hilux,2012,2015,1KD-FTV,3.0L,Diésel,MT,Camioneta,DX,Años 2012-2015; Motor 1KD-FTV; 3.0L; Diésel,MR0|AHT,KUN,1KD-FTV,,FALSE,FALSE,FALSE,Requiere líquido refrigerante G12
PRD-2148,NGK,Reconstruido,Usado,Motor de partida compatible Suzuki Swift 2012-2017,Suzuki,Swift,2012,2017,K14B,1.4L,Gasolina,DCT,Hatchback,GLX,Años 2012-2017; Motor K14B; 1.4L; Gasolina,JS2|TSM,ZC72S,K14B,,FALSE,TRUE,TRUE,Incluye empaquetadura
PRD-2162,Bosch,Genérico,Remanufacturado,Bomba de agua compatible Great Wall Wingle 5 2011-2018,Great Wall,Wingle 5,2011,2018,GW4D20,2.0L,Diésel,AT,Camioneta,Base,Años 2011-2018; Motor GW4D20; 2.0L; Diésel,LGW|LZW,WINGLE5|CC1031,GW4D20,,FALSE,FALSE,FALSE,Con ABS/ESP
